tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-mass,animal-ring-id,animal-sex,deployment-id,study-site
13743,3607-25823,Somateria mollissima,2001-06-22 11:50:00.000,,1680.0,3607-25823,f,c13743,East Bay Island
13741,1347-91437,Somateria mollissima,2001-06-22 16:25:00.000,,1700.0,1347-91437,f,c13741,East Bay Island
13742,3607-25851,Somateria mollissima,2001-06-22 21:00:00.000,,1690.0,3607-25851,f,c13742,East Bay Island
13750,3607-25862,Somateria mollissima,2001-06-23 04:00:00.000,,1720.0,3607-25862,f,c13750,East Bay Island
13744,3607-25863,Somateria mollissima,2001-06-23 04:00:00.000,,1730.0,3607-25863,f,c13744,East Bay Island
13749,3607-25861,Somateria mollissima,2001-06-23 16:30:00.000,,2040.0,3607-25861,f,c13749,East Bay Island
13751,3607-25865,Somateria mollissima,2001-06-24 02:51:00.000,,1780.0,3607-25865,f,c13751,East Bay Island
13746,3607-25866,Somateria mollissima,2001-06-24 04:00:00.000,,1520.0,3607-25866,f,c13746,East Bay Island
13745,1347-91789,Somateria mollissima,2001-06-24 10:00:00.000,,1730.0,1347-91789,f,c13745,East Bay Island
13748,3607-25867,Somateria mollissima,2001-06-26 00:00:00.000,,1750.0,3607-25867,f,c13748,East Bay Island
40466,1547-05319,Somateria spectabilis,2003-06-24 12:30:00.000,,1980.0,1547-05319,f,e40466,East Bay Island
40465,1547-05327,Somateria mollissima,2003-06-27 09:45:00.000,,1840.0,1547-05327,f,e40465,East Bay Island
40461,1547-05326,Somateria spectabilis,2003-06-27 09:45:00.000,,1590.0,1547-05326,m,e40461,East Bay Island
40467,1547-05346,Somateria spectabilis,2003-06-27 11:44:00.000,,1660.0,1547-05346,m,e40467,East Bay Island
40463,1547-05336,Somateria spectabilis,2003-06-27 12:10:00.000,,1960.0,1547-05336,f,e40463,East Bay Island
40460,1547-05377,Somateria mollissima,2003-06-28 12:54:00.000,,2140.0,1547-05377,f,e40460,East Bay Island
6935,1547-05367,Somateria mollissima,2003-06-28 13:06:00.000,,2330.0,1547-05367,f,e6935,East Bay Island
41177,1547-05368,Somateria mollissima,2003-06-28 13:06:00.000,,1900.0,1547-05368,m,e41177,East Bay Island
40475,1547-05378,Somateria mollissima,2003-06-28 13:16:00.000,,2250.0,1547-05378,f,e40475,East Bay Island
40473,1547-05379,Somateria mollissima,2003-06-28 13:20:00.000,,1400.0,1547-05379,m,e40473,East Bay Island
41178,1547-05384,Somateria spectabilis,2003-06-29 11:40:00.000,,1500.0,1547-05384,m,e41178,East Bay Island
40468,1547-05391,Somateria spectabilis,2003-06-29 11:40:00.000,,1820.0,1547-05391,f,e40468,East Bay Island
40462,1547-00659,Somateria mollissima,2003-06-29 12:22:00.000,,2230.0,1547-00659,f,e40462,East Bay Island
40464,1547-05394,Somateria mollissima,2003-06-29 12:22:00.000,,1900.0,1547-05394,m,e40464,East Bay Island
40459,1547-05400,Somateria mollissima,2003-06-29 13:30:00.000,,2125.0,1547-05400,f,e40459,East Bay Island
40474,1547-05402,Somateria mollissima,2003-06-30 12:28:00.000,,1620.0,1547-05402,m,e40474,East Bay Island
40472,1547-05405,Somateria mollissima,2003-06-30 13:09:00.000,,1800.0,1547-05405,m,e40472,East Bay Island
40471,1547-05406,Somateria mollissima,2003-06-30 13:09:00.000,,1930.0,1547-05406,f,e40471,East Bay Island
40476,1547-05409,Somateria mollissima,2003-06-30 13:36:00.000,,1810.0,1547-05409,m,e40476,East Bay Island
40469,1547-05417,Somateria mollissima,2003-07-01 21:40:00.000,,1600.0,1547-05417,m,e40469,East Bay Island
40470,1547-05416,Somateria mollissima,2003-07-01 21:40:00.000,,2280.0,1547-05416,f,e40470,East Bay Island
6933,966-30807,Somateria spectabilis,2003-07-02 13:11:00.000,,1830.0,966-30807,f,e6933,East Bay Island
23166,,,,,,,,,
23167,,,,,,,,,
23168,,,,,,,,,
23169,,,,,,,,,
23170,,,,,,,,,
23171,,,,,,,,,
23172,,,,,,,,,
23323,,,,,,,,,
23324,,,,,,,,,
23326,,,,,,,,,
30055,,,,,,,,,
30056,,,,,,,,,
30057,,,,,,,,,
30058,,,,,,,,,
30059,,,,,,,,,
30060,,,,,,,,,
30061,,,,,,,,,
30062,,,,,,,,,
36370,,,,,,,,,
36371,,,,,,,,,
36372,,,,,,,,,
41179,,,,,,,,,
41180,,,,,,,,,
41181,,,,,,,,,
41182,,,,,,,,,
41183,,,,,,,,,
41184,,,,,,,,,
41185,,,,,,,,,
41186,,,,,,,,,
41187,,,,,,,,,
41188,,,,,,,,,
41189,,,,,,,,,
41190,,,,,,,,,
41191,,,,,,,,,
41193,,,,,,,,,
41194,,,,,,,,,
41195,,,,,,,,,
41196,,,,,,,,,
6932,,,,,,,,,
6934,,,,,,,,,
6936,,,,,,,,,
6937,,,,,,,,,
6938,,,,,,,,,
7794,,,,,,,,,
